model_name,forward_macs
torch_vision_mobilenet_v2.onnx,319949192.0
torch_vision_mobilenet_v3_large.onnx,232570144.0
torch_vision_mobilenet_v3_small.onnx,63067712.0
torch_vision_resnet152.onnx,11572291560.0
torch_vision_resnet18.onnx,1821452264.0
torch_vision_resnet34.onnx,3674276328.0
torch_vision_resnet50.onnx,4117342184.0
torch_vision_shufflenet_v2_x0_5.onnx,43050627.0
torch_vision_shufflenet_v2_x1_0.onnx,149074867.0
torch_vision_shufflenet_v2_x1_5.onnx,301331587.0
torch_vision_shufflenet_v2_x2_0.onnx,590568883.0
torch_vision_squeezenet1_0.onnx,832767864.0
torch_vision_squeezenet1_1.onnx,357475224.0
torch_vision_vgg11.onnx,7630106088.0
torch_vision_vgg13.onnx,11339116008.0
torch_vision_vgg16.onnx,15503523304.0
torch_vision_vgg19.onnx,19667930600.0
